tool_name,version,date
docker-ce,5:20.10.12~3-0~ubuntu-focal,2022-01-06T21:45:10.118955
docker-ce,5:20.10.12~3-0~ubuntu-focal,2022-01-06T21:45:10.118955
docker-ce,5:20.10.14~3-0~ubuntu-focal,2022-04-08T16:59:24.147217
docker-ce,5:20.10.14~3-0~ubuntu-focal,2022-04-08T16:59:24.147217
docker-ce,5:20.10.17~3-0~ubuntu-focal,2022-09-06T14:29:55.219782
docker-ce,5:20.10.17~3-0~ubuntu-focal,2022-09-06T14:29:55.219782
docker-ce,5:20.10.18~3-0~ubuntu-focal,2022-10-27T06:24:47.885079
docker-ce,5:20.10.18~3-0~ubuntu-focal,2022-10-27T06:24:47.885079
docker-ce,5:20.10.21~3-0~ubuntu-focal,2022-11-02T12:11:57.962770
docker-ce,5:20.10.21~3-0~ubuntu-focal,2022-11-02T12:11:57.962770
docker-ce,5:20.10.22~3-0~ubuntu-focal,2023-01-23T20:59:15.235141
docker-ce,5:20.10.22~3-0~ubuntu-focal,2023-01-23T20:59:15.235141
docker-ce,5:20.10.23~3-0~ubuntu-focal,2023-02-07T19:09:46.028682
docker-ce,5:20.10.23~3-0~ubuntu-focal,2023-02-07T19:09:46.028682
docker-ce,5:24.0.6-1~ubuntu.20.04~focal,2023-10-20T20:30:07.547075
docker-ce,5:24.0.6-1~ubuntu.20.04~focal,2023-10-20T20:30:07.547075
docker-ce,5:25.0.3-1~ubuntu.20.04~focal,2024-02-29T19:35:12.696679
docker-ce,5:25.0.3-1~ubuntu.20.04~focal,2024-02-29T19:35:12.696679
