tool_name,version,date
kotlin,1.8.0-release-345,2023-01-12T13:14:56+00:00
kotlin,1.8.10-release-430,2023-02-09T13:39:22+00:00
kotlin,1.8.20-release-327,2023-04-13T12:19:19+00:00
kotlin,1.8.21-release-380,2023-04-26T18:18:07+00:00
kotlin,1.8.22-release-407,2023-06-15T10:52:02+00:00
kotlin,1.9.0-release-358,2023-07-13T11:37:03+00:00
kotlin,1.9.10-release-459,2023-09-07T11:49:34+00:00
kotlin,1.9.255-SNAPSHOT,2023-11-20T12:48:32+00:00
kotlin,1.9.21-release-633,2023-11-30T22:09:32+00:00
kotlin,1.9.22-release-704,2024-01-10T11:38:07+00:00
