tool_name,version,date
chromium,108.0.5341.0,2023-01-12T13:14:56+00:00
chromium,109.0.5414.0,2023-01-19T15:49:50+00:00
chromium,110.0.5481.0,2023-02-18T17:35:35+00:00
chromium,111.0.5547.0,2023-03-16T09:47:08+00:00
chromium,112.0.5593.0,2023-04-13T12:19:19+00:00
chromium,113.0.5672.0,2023-05-11T06:28:26+00:00
chromium,114.0.5733.0,2023-06-08T11:09:44+00:00
chromium,115.0.5790.0,2023-08-03T10:34:33+00:00
chromium,116.0.5845.0,2023-08-24T11:06:16+00:00
chromium,117.0.5938.0,2023-09-21T10:45:58+00:00
chromium,118.0.5993.0,2023-10-18T12:46:58+00:00
chromium,119.0.6045.0,2023-11-20T12:48:32+00:00
chromium,120.0.6099.0,2023-12-14T19:03:34+00:00
chromium,121.0.6167.0,2024-02-01T10:15:40+00:00
chromium,122.0.6261.0,2024-02-29T09:10:07+00:00
