tool_name,version,date
node.js,16.19.0,2023-01-12T13:14:56+00:00
node.js,18.14.1,2023-02-18T17:35:35+00:00
node.js,18.14.2,2023-03-02T12:54:30+00:00
node.js,18.15.0,2023-03-16T09:47:08+00:00
node.js,18.16.0,2023-04-20T09:12:12+00:00
node.js,18.16.1,2023-06-29T09:04:26+00:00
node.js,18.17.0,2023-07-26T07:36:40+00:00
node.js,18.17.1,2023-08-21T10:59:27+00:00
node.js,18.18.0,2023-09-28T06:48:30+00:00
node.js,18.18.2,2023-10-18T12:46:58+00:00
node.js,18.19.0,2023-12-08T12:19:21+00:00
node.js,18.19.1,2024-02-21T21:17:15+00:00
