project_name,dep_name,dep_type
rules_go,com_google_protobuf,library
rtorrent,libtorrent,library
cpuinfo,local_config_platform,library
material.angular.io,aspect_bazel_lib,library
prometheus-cpp,local_config_platform,library
cpuinfo,remotejdk11_linux_toolchain_config_repo,library
cpuinfo,remotejdk11_linux_aarch64_toolchain_config_repo,library
prometheus-cpp,remotejdk11_linux_toolchain_config_repo,library
prometheus-cpp,remotejdk11_linux_s390x_toolchain_config_repo,library
cpuinfo,remotejdk11_macos_toolchain_config_repo,library
prometheus-cpp,remotejdk11_linux_ppc64le_toolchain_config_repo,library
cpuinfo,local_jdk,library
prometheus-cpp,remotejdk11_linux_aarch64_toolchain_config_repo,library
prometheus-cpp,local_jdk,library
cpuinfo,remotejdk11_linux_s390x_toolchain_config_repo,library
prometheus-cpp,remotejdk11_macos_toolchain_config_repo,library
cpuinfo,remotejdk11_linux_ppc64le_toolchain_config_repo,library
prometheus-cpp,remotejdk11_win_toolchain_config_repo,library
cpuinfo,remotejdk11_macos_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk11_win_toolchain_config_repo,library
cpuinfo,remotejdk15_linux_toolchain_config_repo,library
prometheus-cpp,remotejdk11_macos_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk15_macos_toolchain_config_repo,library
prometheus-cpp,remotejdk11_win_arm64_toolchain_config_repo,library
prometheus-cpp,remotejdk17_linux_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk15_win_toolchain_config_repo,library
prometheus-cpp,remotejdk17_macos_toolchain_config_repo,library
cpuinfo,remotejdk15_macos_aarch64_toolchain_config_repo,library
prometheus-cpp,remotejdk17_linux_toolchain_config_repo,library
prometheus-cpp,remotejdk17_macos_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk16_linux_toolchain_config_repo,library
cpuinfo,remotejdk16_macos_toolchain_config_repo,library
cpuinfo,remotejdk16_win_toolchain_config_repo,library
prometheus-cpp,remotejdk17_win_toolchain_config_repo,library
cpuinfo,remotejdk17_macos_toolchain_config_repo,library
cpuinfo,remotejdk16_macos_aarch64_toolchain_config_repo,library
prometheus-cpp,remotejdk17_win_arm64_toolchain_config_repo,library
cpuinfo,remotejdk17_linux_toolchain_config_repo,library
prometheus-cpp,remotejdk18_linux_toolchain_config_repo,library
prometheus-cpp,remotejdk18_macos_toolchain_config_repo,library
prometheus-cpp,remotejdk18_linux_aarch64_toolchain_config_repo,library
prometheus-cpp,local_config_sh,library
prometheus-cpp,remotejdk18_macos_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk17_macos_aarch64_toolchain_config_repo,library
cpuinfo,remotejdk17_win_toolchain_config_repo,library
cpuinfo,local_config_sh,library
prometheus-cpp,remotejdk18_win_toolchain_config_repo,library
prometheus-cpp,remotejdk18_win_arm64_toolchain_config_repo,library
cpuinfo,local_config_cc_toolchains,library
prometheus-cpp,local_config_cc_toolchains,library
cpuinfo,rules_java,library
prometheus-cpp,rules_java,library
cpuinfo,bazel_tools,library
cpuinfo,local_config_cc,library
cpuinfo,rules_cc,library
prometheus-cpp,com_github_google_benchmark,library
prometheus-cpp,com_google_googletest,library
prometheus-cpp,zlib,library
prometheus-cpp,civetweb,library
prometheus-cpp,com_github_curl,library
prometheus-cpp,bazel_tools,library
prometheus-cpp,local_config_cc,library
re2,local_config_platform,library
re2,platforms,library
re2,bazel_skylib~1.4.1,library
re2,rules_java~5.5.1,library
re2,rules_foreign_cc~0.9.0,library
re2,rules_python~0.26.0,library
re2,bazel_tools~sh_configure_extension~local_config_sh,library
re2,rules_cc~0.0.9,library
re2,bazel_tools~cc_configure_extension~local_config_cc_toolchains,library
material.angular.io,aspect_rules_js,library
rtorrent,rules_foreign_cc,library
re2,rules_java~5.5.1~toolchains~remotejdk11_linux_ppc64le_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_linux_s390x_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_linux_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_linux_aarch64_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_macos_aarch64_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_macos_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk19_win_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk17_linux_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk11_win_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~local_jdk,library
re2,rules_java~5.5.1~toolchains~remotejdk19_macos_aarch64_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk17_macos_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk17_macos_aarch64_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk17_win_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk19_linux_toolchain_config_repo,library
re2,rules_java~5.5.1~toolchains~remotejdk19_macos_toolchain_config_repo,library
rtorrent,bazel_skylib,library
rtorrent,rules_pkg,library
rtorrent,rules_cc,library
rtorrent,local_config_platform,library
rtorrent,rules_license,library
rtorrent,rules_python,library
rtorrent,rules_foreign_cc_framework_toolchain_windows,library
rtorrent,rules_foreign_cc_framework_toolchain_freebsd,library
rtorrent,rules_foreign_cc_framework_toolchain_linux,library
rtorrent,rules_foreign_cc_framework_toolchain_macos,library
rtorrent,remotejdk11_linux_toolchain_config_repo,library
rtorrent,remotejdk11_linux_aarch64_toolchain_config_repo,library
rtorrent,remotejdk11_linux_ppc64le_toolchain_config_repo,library
rtorrent,remotejdk11_macos_toolchain_config_repo,library
rtorrent,remotejdk11_win_toolchain_config_repo,library
rtorrent,cmake_3.22.2_toolchains,library
rtorrent,ninja_1.10.2_toolchains,library
rtorrent,remotejdk11_win_arm64_toolchain_config_repo,library
rtorrent,remotejdk17_macos_toolchain_config_repo,library
rtorrent,remotejdk17_macos_aarch64_toolchain_config_repo,library
rtorrent,local_jdk,library
rtorrent,remotejdk18_linux_toolchain_config_repo,library
rtorrent,remotejdk17_win_arm64_toolchain_config_repo,library
rtorrent,remotejdk18_win_toolchain_config_repo,library
rtorrent,local_config_sh,library
rtorrent,remotejdk18_macos_toolchain_config_repo,library
rtorrent,remotejdk18_macos_aarch64_toolchain_config_repo,library
rtorrent,remotejdk18_win_arm64_toolchain_config_repo,library
rtorrent,remotejdk18_linux_aarch64_toolchain_config_repo,library
rtorrent,remotejdk11_linux_s390x_toolchain_config_repo,library
rtorrent,remotejdk17_win_toolchain_config_repo,library
rtorrent,remotejdk11_macos_aarch64_toolchain_config_repo,library
rtorrent,local_config_cc_toolchains,library
rtorrent,rules_pkg_rpmbuild,library
rtorrent,remotejdk17_linux_aarch64_toolchain_config_repo,library
rtorrent,remotejdk17_linux_toolchain_config_repo,library
re2,rules_foreign_cc~0.9.0~ext~rules_foreign_cc_framework_toolchain_macos,library
re2,rules_foreign_cc~0.9.0~ext~rules_foreign_cc_framework_toolchain_freebsd,library
re2,rules_foreign_cc~0.9.0~ext~rules_foreign_cc_framework_toolchain_windows,library
re2,rules_foreign_cc~0.9.0~ext~rules_foreign_cc_framework_toolchain_linux,library
re2,rules_foreign_cc~0.9.0~ext~ninja_1.11.0_toolchains,library
re2,rules_foreign_cc~0.9.0~ext~cmake_3.23.2_toolchains,library
re2,rules_python~0.26.0~python~pythons_hub,library
rtorrent,rules_java,library
re2,abseil-cpp~20230802.0,library
re2,google_benchmark~1.8.3,library
re2,googletest~1.14.0.bcr.1,library
re2,bazel_tools,library
re2,bazel_tools~cc_configure_extension~local_config_cc,library
rtorrent,cmake-3.22.2-linux-x86_64,toolchain
rtorrent,com_google_googletest,library
rtorrent,ninja_1.10.2_linux,library
rtorrent,mimalloc,library
rtorrent,json,library
rtorrent,xmlrpc,library
material.angular.io,rules_nodejs,library
material.angular.io,bazel_skylib,library
rtorrent,bazel_tools,library
material.angular.io,dev-infra,library
rtorrent,local_config_cc,library
rtorrent,ncurses,library
rules_go,com_grail_bazel_toolchain,library
rules_go,bazelci_rules,library
rules_go,bazel_skylib,library
rules_go,bazel_gazelle,library
rtorrent,curl,library
rules_go,bazel_gazelle_is_bazel_module,library
rules_go,io_bazel_stardoc,library
material.angular.io,io_bazel_rules_webtesting,library
prometheus-cpp,rules_cc,library
rules_proto,io_bazel_rules_go,library
rules_proto,bazel_gazelle,library
rules_proto,com_github_grpc_grpc,library
double-conversion,rules_cc,library
double-conversion,local_config_platform,library
double-conversion,local_jdk,library
double-conversion,remotejdk11_macos_aarch64_toolchain_config_repo,library
double-conversion,remotejdk11_macos_toolchain_config_repo,library
double-conversion,remotejdk11_linux_aarch64_toolchain_config_repo,library
double-conversion,remotejdk11_linux_toolchain_config_repo,library
double-conversion,remotejdk11_linux_ppc64le_toolchain_config_repo,library
double-conversion,remotejdk11_linux_s390x_toolchain_config_repo,library
rules_go,build_bazel_apple_support,library
double-conversion,remotejdk11_win_toolchain_config_repo,library
double-conversion,remotejdk11_win_arm64_toolchain_config_repo,library
double-conversion,remotejdk17_linux_toolchain_config_repo,library
double-conversion,remotejdk17_linux_aarch64_toolchain_config_repo,library
double-conversion,remotejdk17_macos_toolchain_config_repo,library
double-conversion,remotejdk17_macos_aarch64_toolchain_config_repo,library
double-conversion,remotejdk17_win_toolchain_config_repo,library
double-conversion,remotejdk17_win_arm64_toolchain_config_repo,library
double-conversion,remotejdk18_linux_aarch64_toolchain_config_repo,library
double-conversion,local_config_sh,library
double-conversion,remotejdk18_linux_toolchain_config_repo,library
double-conversion,remotejdk18_macos_toolchain_config_repo,library
double-conversion,remotejdk18_macos_aarch64_toolchain_config_repo,library
double-conversion,remotejdk18_win_toolchain_config_repo,library
double-conversion,remotejdk18_win_arm64_toolchain_config_repo,library
double-conversion,local_config_cc_toolchains,library
double-conversion,rules_java,library
double-conversion,bazel_tools,library
double-conversion,local_config_cc,library
rules_go,googleapis,library
rules_spring,rules_jvm_external,library
rtorrent,boringssl,library
rtorrent,cares,library
rtorrent,zlib,library
rtorrent,gnumake_src,library
rules_spring,rules_spring,library
rules_spring,maven,library
rules_spring,spring_boot_starter_jetty,library
rules_spring,local_config_platform,library
rules_spring,remotejdk11_linux_toolchain_config_repo,library
rules_spring,remotejdk11_macos_toolchain_config_repo,library
rules_spring,remotejdk11_linux_ppc64le_toolchain_config_repo,library
rules_spring,remotejdk11_linux_aarch64_toolchain_config_repo,library
rules_spring,remotejdk11_macos_aarch64_toolchain_config_repo,library
rules_spring,remotejdk11_linux_s390x_toolchain_config_repo,library
