project,pkg_name,syscall,path,type
verible,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/iomanip,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/bits/forward_list.tcc,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/tr1/riemann_zeta.tcc,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/bits/range_cmp.h,transitive
verible,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/__fpos64_t.h,transitive
verible,unknown,openat,/usr/lib/python3.9/__pycache__/reprlib.cpython-39.pyc,unknown
verible,libstdc++-10-dev,read,/usr/include/c++/10/memory,transitive
verible,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/sigevent_t.h,transitive
verible,unknown,openat,/usr/lib/python3.9/__pycache__/heapq.cpython-39.pyc,unknown
verible,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Trustis_FPS_Root_CA.crt,top
verible,libstdc++-10-dev,read,/usr/include/c++/10/tr1/gamma.tcc,transitive
verible,libc6-dev,openat,/usr/include/setjmp.h,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/bits/uniform_int_dist.h,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/bits/hashtable_policy.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/bits/algorithmfwd.h,transitive
verible,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/include/emmintrin.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/regex,transitive
verible,libc6,read,/usr/lib/x86_64-linux-gnu/libresolv-2.31.so,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/concepts,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/debug/assertions.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/cstdlib,transitive
verible,libc6-dev,read,/usr/include/x86_64-linux-gnu/sys/times.h,transitive
verible,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/auxv.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_iterator_base_funcs.h,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_list.h,transitive
verible,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Trusted_Root_G4.crt,top
verible,libc6-dev,read,/usr/include/unistd.h,transitive
verible,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/include/float.h,transitive
verible,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/include/wbnoinvdintrin.h,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/bits/regex_scanner.h,transitive
verible,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/fcntl2.h,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/vector,transitive
verible,ca-certificates,read,/usr/share/ca-certificates/mozilla/E-Tugra_Certification_Authority.crt,top
verible,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/include/clflushoptintrin.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_facets_nonio.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/ctype_inline.h,transitive
verible,ca-certificates,read,/usr/share/ca-certificates/mozilla/AC_RAIZ_FNMT-RCM.crt,top
verible,libstdc++-10-dev,read,/usr/include/c++/10/sstream,transitive
verible,libstdc++-10-dev,read,/usr/include/c++/10/pstl/pstl_config.h,transitive
verible,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_tempbuf.h,transitive
verible,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/crtendS.o,transitive
