project,pkg_name,syscall,path,type
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/iomanip,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/forward_list.tcc,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/range_cmp.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/__fpos64_t.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/memory,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/sigevent_t.h,transitive
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Trustis_FPS_Root_CA.crt,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/uniform_int_dist.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/hashtable_policy.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/algorithmfwd.h,transitive
re2,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/include/emmintrin.h,transitive
re2,libc6,read,/usr/lib/x86_64-linux-gnu/libresolv-2.31.so,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/concepts,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/debug/assertions.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/cstdlib,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/auxv.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_iterator_base_funcs.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_list.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Trusted_Root_G4.crt,top
re2,libc6-dev,read,/usr/include/unistd.h,transitive
re2,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/include/float.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/vector,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/E-Tugra_Certification_Authority.crt,top
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_facets_nonio.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/x86_64-linux-gnu/c++/10/bits/ctype_inline.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/AC_RAIZ_FNMT-RCM.crt,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/sstream,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_tempbuf.h,transitive
re2,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/crtendS.o,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_set.h,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/siginfo-arch.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/locale_conv.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/Hongkong_Post_Root_CA_1.crt,top
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/sys/cdefs.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/tuple,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/ranges_uninitialized.h,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/sys/prctl.h,transitive
re2,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/atomic_word.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/types/struct_statx_timestamp.h,transitive
re2,linux-libc-dev,openat,/usr/include/linux/types.h,transitive
re2,unknown,openat,/etc/ssl/certs/java,unknown
re2,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/basic_file.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_multimap.h,transitive
re2,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjli.so,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/functional,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/struct_timespec.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/sigstack.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/GlobalSign_Root_CA_-_R3.crt,top
re2,libc6-dev,read,/usr/include/ucontext.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/cstdio,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/string,transitive
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/SecureTrust_CA.crt,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/cxxabi_forced.h,transitive
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/T-TeleSec_GlobalRoot_Class_2.crt,top
re2,linux-libc-dev,openat,/usr/include/asm-generic/types.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/iterator,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/local_lim.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/ios,transitive
re2,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/java.security,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/stl_algo.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/basic_ios.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/std_mutex.h,transitive
re2,libgcc-s1,read,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/Baltimore_CyberTrust_Root.crt,top
re2,libmpc3,read,/usr/lib/x86_64-linux-gnu/libmpc.so.3.2.0,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/dlfcn.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/Buypass_Class_3_Root_CA.crt,top
re2,libc6-dev,openat,/usr/include/string.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/fcntl.h,transitive
re2,libc6-dev,openat,/usr/include/regex.h,transitive
re2,libc6-dev,read,/usr/include/fcntl.h,transitive
re2,libc6-dev,read,/usr/lib/x86_64-linux-gnu/libm.so,transitive
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Starfield_Class_2_CA.crt,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/forward_list,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/stdint-uintn.h,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/waitstatus.h,transitive
re2,linux-libc-dev,read,/usr/include/asm-generic/posix_types.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/ctime,transitive
re2,libc6,read,/usr/lib/x86_64-linux-gnu/librt-2.31.so,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Global_Root_CA.crt,top
re2,unknown,openat,/sys/devices/system/cpu/online,unknown
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/struct_osockaddr.h,transitive
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/Amazon_Root_CA_2.crt,top
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/sigset_t.h,transitive
re2,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_ADDRESS,top
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/VeriSign_Universal_Root_Certification_Authority.crt,top
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_function.h,transitive
re2,unknown,openat,/usr/lib,unknown
re2,ca-certificates,read,/usr/share/ca-certificates/mozilla/T-TeleSec_GlobalRoot_Class_3.crt,top
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/NetLock_Arany_=Class_Gold=_Főtanúsítvány.crt,top
re2,libstdc++-10-dev,openat,/usr/include/c++/10/typeinfo,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/locale,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/hash_bytes.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/ext/atomicity.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/gnu/stubs-64.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/resource.h,transitive
re2,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/cpu-set.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/unique_lock.h,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/fcntl-linux.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/cpp_type_traits.h,transitive
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/stream_iterator.h,transitive
re2,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/signum.h,transitive
re2,ca-certificates,openat,/usr/share/ca-certificates/mozilla/TUBITAK_Kamu_SM_SSL_Kok_Sertifikasi_-_Surum_1.crt,top
re2,libstdc++-10-dev,read,/usr/include/c++/10/bits/refwrap.h,transitive
re2,linux-libc-dev,read,/usr/include/asm-generic/sockios.h,transitive
re2,libc6-dev,read,/usr/include/stdio.h,transitive
re2,libstdc++-10-dev,openat,/usr/include/c++/10/bits/allocated_ptr.h,transitive
