project,pkg_name,syscall,path,type
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_ADDRESS,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/include,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jarsigner,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/blocked.certs,top
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/libm-2.31.so,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libverify.so,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf/security/policy/limited,unknown
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libjava.so,top
bazel-deps,libc6,read,/usr/lib/x86_64-linux-gnu/libnss_files-2.31.so,transitive
bazel-deps,unknown,openat,/etc/ld.so.cache,unknown
bazel-deps,unknown,openat,/etc/hosts,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/serialver,transitive
bazel-deps,unknown,execve,/bin/locale,unknown
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/policy/unlimited/default_US_export.policy,top
bazel-deps,unknown,openat,/usr/lib/jvm/java-17-openjdk-amd64/conf/security/policy,unknown
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_MEASUREMENT,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jmod,transitive
bazel-deps,liblzma5,read,/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5,transitive
bazel-deps,libc6-dev,read,/usr/include/stdc-predef.h,transitive
bazel-deps,libc-bin,read,/etc/gai.conf,top
bazel-deps,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/Scrt1.o,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libj2gss.so,top
bazel-deps,unknown,openat,/etc/resolv.conf,unknown
bazel-deps,unknown,execve,/usr/bin/cp,unknown
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jlink,transitive
bazel-deps,unknown,openat,/usr/lib,unknown
bazel-deps,libbinutils,openat,/usr/lib/x86_64-linux-gnu/libopcodes-2.35.2-system.so,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libextnet.so,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libsaproc.so,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jni.h,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/libmanagement_ext.so,top
bazel-deps,openjdk-17-jre-headless,openat,/usr/lib/jvm/java-17-openjdk-amd64/lib/libnio.so,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/liblcms.so,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/policy/README.txt,top
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/accessibility.properties,top
bazel-deps,libc6,openat,/usr/lib/x86_64-linux-gnu/libc-2.31.so,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jdeps,transitive
bazel-deps,libgmp10,read,/usr/lib/x86_64-linux-gnu/libgmp.so.10.4.1,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/security/java.policy,top
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/bin/jshell,transitive
bazel-deps,bash,execve,/bin/bash,top
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/modules,top
bazel-deps,base-files,read,/etc/host.conf,transitive
bazel-deps,libctf0,read,/usr/lib/x86_64-linux-gnu/libctf.so.0.0.0,transitive
bazel-deps,libacl1,openat,/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2253,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/librmi.so,top
bazel-deps,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/crtendS.o,transitive
bazel-deps,unknown,openat,/etc/nsswitch.conf,unknown
bazel-deps,libzstd1,read,/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8,transitive
bazel-deps,libgcc-10-dev,openat,/usr/lib/gcc/x86_64-linux-gnu/10/crtbeginS.o,transitive
bazel-deps,openjdk-17-jdk-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/include/jvmti.h,transitive
bazel-deps,unknown,execve,/usr/local/bin/bazel,unknown
bazel-deps,base-files,openat,/usr/lib/os-release,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/jfr/default.jfc,top
bazel-deps,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/crtn.o,transitive
bazel-deps,openjdk-17-jre-headless,read,/usr/lib/jvm/java-17-openjdk-amd64/lib/server/libjsig.so,top
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_IDENTIFICATION,top
bazel-deps,libsystemd0,openat,/usr/lib/x86_64-linux-gnu/libsystemd.so.0.30.0,transitive
bazel-deps,openjdk-17-jre-headless,read,/etc/java-17-openjdk/logging.properties,top
bazel-deps,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_COLLATE,top
