project,pkg_name,syscall,path,type
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/GlobalSign_ECC_Root_CA_-_R4.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/XRamp_Global_CA_Root.crt,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/atomic_lockfree_defines.h,transitive
autodiff,libgcc-10-dev,read,/usr/lib/gcc/x86_64-linux-gnu/10/include/mmintrin.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/predefined_ops.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/fp-fast.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/select.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Entrust_Root_Certification_Authority_-_EC1.crt,top
autodiff,gcc-10,read,/usr/lib/gcc/x86_64-linux-gnu/10/liblto_plugin.so.0.0.0,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/emSign_Root_CA_-_G1.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/limits,transitive
autodiff,libc6,read,/usr/lib/x86_64-linux-gnu/librt-2.31.so,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Global_Root_CA.crt,top
autodiff,libmpfr6,openat,/usr/lib/x86_64-linux-gnu/libmpfr.so.6.1.0,transitive
autodiff,libstdc++-10-dev,read,/usr/include/x86_64-linux-gnu/c++/10/bits/error_constants.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/wctype-wchar.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/UCA_Global_G2_Root.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/Amazon_Root_CA_2.crt,top
autodiff,unknown,openat,/sys/devices/system/cpu/online,unknown
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/libm-simd-decl-stubs.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/tr1/special_function_util.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/SSL.com_EV_Root_Certification_Authority_RSA_R2.crt,top
autodiff,libc6-dev,read,/usr/include/strings.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Hellenic_Academic_and_Research_Institutions_ECC_RootCA_2015.crt,top
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/DigiCert_Assured_ID_Root_G2.crt,top
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/sigset_t.h,transitive
autodiff,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_ADDRESS,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/charconv.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/ext/numeric_traits.h,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/math-vector.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/numeric,transitive
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/uintn-identity.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/UCA_Extended_Validation_Root.crt,top
autodiff,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_MEASUREMENT,top
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/bits/hashtable.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/SSL.com_Root_Certification_Authority_ECC.crt,top
autodiff,libc6-dev,openat,/usr/lib/x86_64-linux-gnu/Scrt1.o,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/IdenTrust_Commercial_Root_CA_1.crt,top
autodiff,libc6-dev,read,/usr/include/x86_64-linux-gnu/bits/types/struct_tm.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/stl_function.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/VeriSign_Universal_Root_Certification_Authority.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/emSign_Root_CA_-_C1.crt,top
autodiff,unknown,openat,/usr/lib,unknown
autodiff,libbinutils,openat,/usr/lib/x86_64-linux-gnu/libopcodes-2.35.2-system.so,transitive
autodiff,libstdc++-10-dev,read,/usr/include/c++/10/stdexcept,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/OISTE_WISeKey_Global_Root_GC_CA.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/SecureSign_RootCA11.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/pstl/glue_algorithm_defs.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/T-TeleSec_GlobalRoot_Class_3.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Trustwave_Global_ECC_P256_Certification_Authority.crt,top
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/NetLock_Arany_=Class_Gold=_Főtanúsítvány.crt,top
autodiff,libc6-dev,read,/usr/include/features.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/typeinfo,transitive
autodiff,libgmp10,read,/usr/lib/x86_64-linux-gnu/libgmp.so.10.4.1,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/AffirmTrust_Networking.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/hash_bytes.h,transitive
autodiff,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Hongkong_Post_Root_CA_3.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/ext/atomicity.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/streambuf_iterator.h,transitive
autodiff,libzstd1,read,/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/concept_check.h,transitive
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/pstl/glue_memory_defs.h,transitive
autodiff,unknown,execve,/usr/local/bin/bazel,unknown
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/bits/vector.tcc,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/GTS_Root_R1.crt,top
autodiff,libc-bin,openat,/usr/lib/locale/C.UTF-8/LC_IDENTIFICATION,top
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/bits/sys_errlist.h,transitive
autodiff,libc6-dev,openat,/usr/include/x86_64-linux-gnu/gnu/stubs-64.h,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/SSL.com_EV_Root_Certification_Authority_ECC.crt,top
autodiff,libstdc++-10-dev,openat,/usr/include/c++/10/optional,transitive
autodiff,ca-certificates,read,/usr/share/ca-certificates/mozilla/QuoVadis_Root_CA_2.crt,top
