project,pkg_name,syscall,path,type
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/memmove_ppc64x.s,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/memclr_plan9_386.s,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/signal_linux_386.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/vendor/golang.org/x/sys/unix/zsysctl_openbsd_386.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/mpallocbits_test.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/go/testdata/mod/example.com_newcycle_a_v1.0.0.txt,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/rt0_linux_ppc64le.s,unknown
go-jsonnet,unknown,read,/usr/local/go/src/go/types/testdata/fixedbugs/issue40789.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/go/types/hilbert_test.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/compile/internal/types2/testdata/fixedbugs/issue43125.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/internal/buildcfg/cfg.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/internal/goarch/goarch_386.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/strconv/ctoa_test.go,unknown
go-jsonnet,ca-certificates,openat,/usr/share/ca-certificates/mozilla/Microsoft_RSA_Root_Certificate_Authority_2017.crt,top
go-jsonnet,unknown,read,/usr/local/go/src/os/types.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/tls_ppc64x.s,unknown
go-jsonnet,unknown,read,/usr/local/go/src/go/token/example_test.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/syscall/time_fake.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/os/file.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/runtime/relax_stub.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/testing/iotest/writer_test.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/syscall/bpf_darwin.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/os/signal/internal/pty,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/compile/internal/x86/galign.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/vendor/golang.org/x/sys/unix/syscall_linux_s390x.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/compile/internal/noder/object.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/internal/poll/fd_windows.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/internal/reflectlite/value.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/compress/bzip2/testdata/pass-random2.bin,unknown
go-jsonnet,unknown,read,/usr/local/go/src/internal/bytealg/compare_native.go,unknown
go-jsonnet,unknown,openat,/usr/local/go/src/runtime/sys_mipsx.go,unknown
go-jsonnet,unknown,read,/usr/local/go/src/cmd/go/testdata/script/test_regexps.txt,unknown
