tool_name,version,date
image_version,20210330.1,2021-04-01T09:04:35+00:00
image_version,20210405.1,2021-04-08T11:41:35+00:00
image_version,20210412.1,2021-04-15T12:31:22+00:00
image_version,20210419.1,2021-04-22T08:50:07+00:00
image_version,20210425.1,2021-04-29T09:01:40+00:00
image_version,20210504.1,2021-05-06T10:24:38+00:00
image_version,20210510.0,2021-05-13T08:38:04+00:00
image_version,20210517.1,2021-05-21T07:21:08+00:00
image_version,20210524.1,2021-05-27T09:14:48+00:00
image_version,20210531.0,2021-06-03T07:46:46+00:00
image_version,20210606.1,2021-06-10T16:03:55+00:00
image_version,20210614.1,2021-06-17T07:54:37+00:00
image_version,20210621.1,2021-06-24T08:48:57+00:00
image_version,20210628.1,2021-06-30T06:37:02+00:00
image_version,20210712.0,2021-07-16T09:17:23+00:00
image_version,20210718.1,2021-07-21T08:54:48+00:00
image_version,20210726.1,2021-07-29T09:09:00+00:00
image_version,20210803.5,2021-08-04T07:49:36+00:00
image_version,20210810.1,2021-08-12T19:56:45+00:00
image_version,20210816.1,2021-08-19T08:08:26+00:00
image_version,20210831.9,2021-09-02T07:47:52+00:00
image_version,20210906.1,2021-09-09T07:26:34+00:00
image_version,20210913.1,2021-09-16T17:06:04+00:00
image_version,20210919.1,2021-09-23T09:22:03+00:00
image_version,20210929.1,2021-09-30T11:23:16+00:00
image_version,20211004.1,2021-10-07T08:02:28+00:00
image_version,20211011.1,2021-10-14T09:08:19+00:00
image_version,20211017.0,2021-10-21T10:00:52+00:00
image_version,20211101.1,2021-11-03T12:38:19+00:00
image_version,20211108.1,2021-11-10T10:33:07+00:00
image_version,20211114.1,2021-11-18T09:10:23+00:00
image_version,20211122.1,2021-11-25T08:10:14+00:00
image_version,20211129.1,2021-12-02T06:51:13+00:00
image_version,20211208.3,2021-12-09T13:26:34+00:00
image_version,20211129.1,2021-12-09T13:56:27+00:00
image_version,20211209.3,2021-12-13T09:17:56+00:00
image_version,20211212.1,2021-12-16T09:22:19+00:00
image_version,20211219.1,2021-12-22T09:03:14+00:00
image_version,20220111.1,2022-01-13T09:40:25+00:00
image_version,20220116.1,2022-01-20T15:45:01+00:00
image_version,20220123.1,2022-01-27T19:57:46+00:00
image_version,20220131.1,2022-02-03T08:36:35+00:00
image_version,20220207.1,2022-02-10T08:37:35+00:00
image_version,20220213.1,2022-02-17T18:43:23+00:00
image_version,20220220.1,2022-02-22T07:55:49+00:00
image_version,20220306.1,2022-03-10T16:00:28+00:00
image_version,20220316.1,2022-03-28T16:10:17+00:00
image_version,20220330.0,2022-04-04T09:33:51+00:00
image_version,20220405.3,2022-04-07T14:43:52+00:00
image_version,20220410.2,2022-04-14T12:16:16+00:00
image_version,20220426.1,2022-04-28T09:03:25+00:00
image_version,20220503.1,2022-05-04T08:33:53+00:00
image_version,20220511.2,2022-05-12T08:19:40+00:00
image_version,20220515.1,2022-05-19T07:46:58+00:00
image_version,20220529.1,2022-06-02T08:37:37+00:00
image_version,20220605.1,2022-06-09T18:27:47+00:00
image_version,20220614.0,2022-06-16T09:21:48+00:00
image_version,20220619.1,2022-06-23T09:20:17+00:00
image_version,20220626.1,2022-06-28T13:46:57+00:00
image_version,20220710.1,2022-07-12T09:29:32+00:00
image_version,20220717.1,2022-07-19T10:10:58+00:00
image_version,20220724.1,2022-07-26T09:43:46+00:00
image_version,20220729.1,2022-08-03T09:53:28+00:00
image_version,20220923.1,2022-09-30T10:16:21+00:00
image_version,20221003.1,2022-10-05T14:13:04+00:00
image_version,20221018.2,2022-10-20T13:43:06+00:00
image_version,20221220.1,2022-12-22T18:33:45+00:00
image_version,20230118.2,2023-01-19T15:32:31+00:00
image_version,20230217.2,2023-02-18T17:07:17+00:00
