package,source_package,date,version,repo
tar,tar,2024-01-20T10:59:10+01:00,1.34+dfsg-1+deb11u1,bullseye
tar,tar,2021-02-17T09:55:26+00:00,1.34+dfsg-1,unstable
tar,tar,2021-02-12T15:15:21+00:00,1.33+dfsg-1,unstable
tar,tar,2020-11-20T09:52:51+00:00,1.32+dfsg-1,unstable
tar,tar,2020-03-14T14:24:29-06:00,1.30+dfsg-7,unstable
tar,tar,2019-04-23T10:05:54-06:00,1.30+dfsg-6,unstable
tar,tar,2019-02-04T10:43:28-07:00,1.30+dfsg-5,unstable
tar,tar,2019-01-05T16:15:25-07:00,1.30+dfsg-4,unstable
tar,tar,2018-12-31T21:08:52+01:00,1.30+dfsg-3.1,unstable
tar,tar,2018-11-16T21:33:47-10:00,1.30+dfsg-3,unstable
tar,tar,2018-05-16T01:47:48-06:00,1.30+dfsg-2,unstable
tar,tar,2018-04-29T12:39:42-06:00,1.30+dfsg-1,unstable
tar,tar,2017-07-21T08:35:22-06:00,1.29b-2,unstable
