package,source_package,date,version,repo
libp11-kit0,p11-kit,2020-12-12T13:40:23+01:00,0.23.22-1,unstable
libp11-kit0,p11-kit,2020-08-23T18:39:57+02:00,0.23.21-2,unstable
libp11-kit0,p11-kit,2020-08-22T14:11:57+02:00,0.23.21-1,experimental
libp11-kit0,p11-kit,2020-01-30T18:41:44+01:00,0.23.20-1,unstable
libp11-kit0,p11-kit,2020-01-26T14:09:36+01:00,0.23.19-2,unstable
libp11-kit0,p11-kit,2020-01-22T14:49:38+01:00,0.23.19-1,experimental
libp11-kit0,p11-kit,2019-10-17T18:39:54+02:00,0.23.18.1-2,unstable
libp11-kit0,p11-kit,2019-10-05T15:23:53+02:00,0.23.18.1-1,experimental
libp11-kit0,p11-kit,2019-09-15T11:28:58+02:00,0.23.17-2,unstable
libp11-kit0,p11-kit,2019-09-14T19:02:25+02:00,0.23.17-1,experimental
libp11-kit0,p11-kit,2019-08-14T07:44:54+02:00,0.23.16.1-2,unstable
libp11-kit0,p11-kit,2019-05-26T14:20:35+02:00,0.23.16.1-1,experimental
libp11-kit0,p11-kit,2019-02-16T13:20:53+01:00,0.23.15-2,unstable
libp11-kit0,p11-kit,2019-02-15T18:03:48+01:00,0.23.15-1,experimental
libp11-kit0,p11-kit,2018-08-30T19:26:37+02:00,0.23.14-2,unstable
libp11-kit0,p11-kit,2018-08-28T19:48:30+02:00,0.23.14-1,experimental
libp11-kit0,p11-kit,2018-08-15T11:06:36+02:00,0.23.13-2,unstable
libp11-kit0,p11-kit,2018-08-11T13:58:11+02:00,0.23.13-1,experimental
libp11-kit0,p11-kit,2018-06-09T19:41:35+02:00,0.23.12-2,unstable
libp11-kit0,p11-kit,2018-06-04T19:16:26+02:00,0.23.12-1,experimental
libp11-kit0,p11-kit,2018-03-28T19:29:26+02:00,0.23.10-2,unstable
libp11-kit0,p11-kit,2018-02-28T19:20:54+01:00,0.23.10-1,experimental
libp11-kit0,p11-kit,2017-10-14T07:02:43+02:00,0.23.9-2,unstable
libp11-kit0,p11-kit,2017-10-06T19:14:31+02:00,0.23.9-1,experimental
libp11-kit0,p11-kit,2017-09-03T12:47:32+02:00,0.23.8-2,experimental
libp11-kit0,p11-kit,2017-08-29T19:53:04+02:00,0.23.8-1,experimental
libp11-kit0,p11-kit,2017-07-14T19:13:12+02:00,0.23.7-3,unstable
libp11-kit0,p11-kit,2017-07-01T13:40:07+02:00,0.23.7-2,unstable
