package,source_package,date,version,repo
libkeyutils1,keyutils,2020-02-10T17:23:36+01:00,1.6.1-2,unstable
libkeyutils1,keyutils,2020-02-09T21:15:07+01:00,1.6.1-1,unstable
libkeyutils1,keyutils,2019-03-06T17:18:19+01:00,1.6-6,unstable
libkeyutils1,keyutils,2019-03-01T15:47:59+01:00,1.6-5,unstable
libkeyutils1,keyutils,2019-02-22T16:49:41+01:00,1.6-4,unstable
libkeyutils1,keyutils,2019-02-21T20:49:14+01:00,1.6-3,unstable
libkeyutils1,keyutils,2019-02-12T07:36:31+01:00,1.6-2,unstable
libkeyutils1,keyutils,2019-02-10T15:29:04+01:00,1.6-1,unstable
libkeyutils1,keyutils,2019-02-06T23:12:27+01:00,1.5.9-10,unstable
libkeyutils1,keyutils,2018-07-16T09:53:06+01:00,1.5.9-9.3,unstable
libkeyutils1,keyutils,2017-11-16T12:19:11+00:00,1.5.9-9.2,unstable
libkeyutils1,keyutils,2017-09-28T14:19:16+02:00,1.5.9-9.1,unstable
