package,source_package,date,version,repo
libpcre3,pcre3,2020-06-18T19:33:56+01:00,2:8.39-13,unstable
libpcre3,pcre3,2019-03-07T15:30:15+00:00,2:8.39-12,unstable
libpcre3,pcre3,2018-07-21T14:59:04+01:00,2:8.39-11,unstable
libpcre3,pcre3,2018-07-17T18:59:42+01:00,2:8.39-10,unstable
libpcre3,pcre3,2018-02-03T18:27:50+00:00,2:8.39-9,unstable
libpcre3,pcre3,2017-12-04T05:27:10+00:00,2:8.39-8,unstable
libpcre3,pcre3,2017-12-03T12:21:44+00:00,2:8.39-7,unstable
libpcre3,pcre3,2017-11-30T15:38:57+00:00,2:8.39-6,unstable
libpcre3,pcre3,2017-09-19T22:10:37+01:00,2:8.39-5,unstable
libpcre3,pcre3,2017-07-23T16:20:23+01:00,2:8.39-4,unstable
