package,source_package,date,version,repo
rustc,rustc,2018-09-26T23:29:18-07:00,1.30.0~beta.7+dfsg1-1~exp3,experimental
rustc,rustc,2018-09-26T21:43:30-07:00,1.30.0~beta.7+dfsg1-1~exp2,experimental
rustc,rustc,2018-09-23T10:40:30-07:00,1.30.0~beta.7+dfsg1-1~exp1,experimental
rustc,rustc,2018-09-23T10:16:53-07:00,1.29.0+dfsg1-1,unstable
rustc,rustc,2018-09-20T22:33:20-07:00,1.29.0+dfsg1-1~exp1,experimental
rustc,rustc,2018-09-11T15:54:27+02:00,1.28.0+dfsg1-3,unstable
rustc,rustc,2018-08-05T02:18:10-07:00,1.28.0+dfsg1-2,unstable
rustc,rustc,2018-08-04T23:04:41-07:00,1.28.0+dfsg1-1,unstable
rustc,rustc,2018-07-27T04:26:52-07:00,1.28.0~beta.14+dfsg1-1~exp2,experimental
rustc,rustc,2018-07-25T03:11:11-07:00,1.28.0~beta.14+dfsg1-1~exp1,experimental
rustc,rustc,2018-07-24T21:35:56-07:00,1.27.2+dfsg1-1,unstable
rustc,rustc,2018-07-19T14:49:18-07:00,1.27.1+dfsg1-1~exp4,experimental
rustc,rustc,2018-07-19T08:52:03-07:00,1.27.1+dfsg1-1~exp3,experimental
rustc,rustc,2018-07-18T09:06:44-07:00,1.27.1+dfsg1-1~exp2,experimental
rustc,rustc,2018-07-13T22:58:02-07:00,1.27.1+dfsg1-1~exp1,unstable
rustc,rustc,2018-06-16T12:39:59-07:00,1.26.2+dfsg1-1,unstable
rustc,rustc,2018-05-31T09:25:17-07:00,1.26.1+dfsg1-3,unstable
rustc,rustc,2018-05-30T20:58:46-07:00,1.26.1+dfsg1-2,unstable
rustc,rustc,2018-05-30T08:18:04-07:00,1.26.1+dfsg1-1,unstable
rustc,rustc,2018-05-29T20:36:56-07:00,1.26.0+dfsg1-1~exp4,experimental
rustc,rustc,2018-05-29T09:32:38-07:00,1.26.0+dfsg1-1~exp3,experimental
rustc,rustc,2018-05-22T22:00:53-07:00,1.26.0+dfsg1-1~exp2,experimental
rustc,rustc,2018-05-20T03:11:45-07:00,1.26.0+dfsg1-1~exp1,experimental
rustc,rustc,2018-05-19T13:10:33-07:00,1.25.0+dfsg1-2,unstable
rustc,rustc,2018-05-18T01:11:15-07:00,1.25.0+dfsg1-1,unstable
rustc,rustc,2018-04-06T14:05:36-07:00,1.25.0+dfsg1-1~exp2,experimental
rustc,rustc,2018-04-01T15:59:47+02:00,1.25.0+dfsg1-1~exp1,experimental
rustc,rustc,2018-03-07T20:07:27+01:00,1.24.1+dfsg1-1,unstable
rustc,rustc,2018-03-05T16:25:26+01:00,1.24.1+dfsg1-1~exp2,experimental
rustc,rustc,2018-03-03T14:23:29+01:00,1.24.1+dfsg1-1~exp1,experimental
rustc,rustc,2018-01-19T11:49:31+01:00,1.23.0+dfsg1-1,unstable
rustc,rustc,2018-01-14T00:08:17+01:00,1.23.0+dfsg1-1~exp1,experimental
rustc,rustc,2018-01-01T14:27:19+01:00,1.22.1+dfsg1-2,unstable
rustc,rustc,2017-12-18T19:46:25+01:00,1.22.1+dfsg1-1,unstable
rustc,rustc,2017-11-25T22:29:12+01:00,1.22.1+dfsg1-1~exp1,experimental
rustc,rustc,2017-11-06T10:03:32+01:00,1.21.0+dfsg1-3,unstable
rustc,rustc,2017-10-25T20:27:30+02:00,1.21.0+dfsg1-2,unstable
rustc,rustc,2017-10-17T00:42:54+02:00,1.21.0+dfsg1-1,experimental
rustc,rustc,2017-10-25T12:01:19+02:00,1.20.0+dfsg1-3,unstable
rustc,rustc,2017-10-21T14:20:17+02:00,1.20.0+dfsg1-2,unstable
rustc,rustc,2017-10-15T23:30:35+02:00,1.20.0+dfsg1-1,unstable
rustc,rustc,2017-10-15T21:31:03+02:00,1.19.0+dfsg3-4,unstable
rustc,rustc,2017-09-19T16:09:41+02:00,1.19.0+dfsg3-3,unstable
rustc,rustc,2017-09-19T12:32:03+02:00,1.19.0+dfsg3-2,unstable
rustc,rustc,2017-09-15T04:02:09+02:00,1.19.0+dfsg3-1,experimental
rustc,rustc,2017-07-25T23:19:47+02:00,1.18.0+dfsg1-4,unstable
rustc,rustc,2017-07-22T20:30:25+02:00,1.18.0+dfsg1-3,unstable
rustc,rustc,2017-07-17T23:04:03+02:00,1.18.0+dfsg1-2,experimental
rustc,rustc,2017-06-27T12:51:22+02:00,1.18.0+dfsg1-1,experimental
rustc,rustc,2017-07-17T13:41:59+02:00,1.17.0+dfsg2-8,unstable
rustc,rustc,2017-06-21T10:46:27+02:00,1.17.0+dfsg2-7,unstable
rustc,rustc,2017-06-21T00:24:22+02:00,1.17.0+dfsg2-6,unstable
